SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,Variant Name 2,Variant Value 2,Variant Name 3,Variant Value 3,Thongthan_Quantity,Warning Stock Level,Ideal Stock Level,Supplier,Tax Name,Store Credits,Kitchen Printer
#Required (Must be unique),,Required,Optional,Required (Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional; use semicolon ( ; ) to separate multiple tags,Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required (0/1),Optional; Must be unique if specified; use semicolon ( ; ) to separate multiple barcodes,,,,,,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional; use semicolon ( ; ) to separate multiple suppliers,Optional,Optional,Optional
134086_5_2XL,,134086_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_2XL,,,,,,,0,,,,,,
134086_5_3XL,,134086_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134086_5_3XL,,,,,,,0,,,,,,
134087_5_SS,,134087_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_SS,,,,,,,0,,,,,,
134087_5_S,,134087_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_S,,,,,,,3,,,,,,
134087_5_M,,134087_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_M,,,,,,,10,,,,,,
134087_5_L,,134087_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_L,,,,,,,9,,,,,,
134087_5_XL,,134087_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_XL,,,,,,,5,,,,,,
134087_5_2XL,,134087_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_2XL,,,,,,,2,,,,,,
134087_5_3XL,,134087_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134087_5_3XL,,,,,,,0,,,,,,
134088_5_SS,,134088_5_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_SS,,,,,,,0,,,,,,
134088_5_S,,134088_5_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_S,,,,,,,5,,,,,,
134088_5_M,,134088_5_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_M,,,,,,,22,,,,,,
134088_5_L,,134088_5_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_L,,,,,,,14,,,,,,
134088_5_XL,,134088_5_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_XL,,,,,,,7,,,,,,
134088_5_2XL,,134088_5_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_2XL,,,,,,,0,,,,,,
134088_5_3XL,,134088_5_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134088_5_3XL,,,,,,,0,,,,,,
134090_0_SS,,134090_0_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_SS,,,,,,,0,,,,,,
134090_0_S,,134090_0_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_S,,,,,,,9,,,,,,
134090_0_M,,134090_0_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_M,,,,,,,25,,,,,,
134090_0_L,,134090_0_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_L,,,,,,,13,,,,,,
134090_0_XL,,134090_0_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_XL,,,,,,,12,,,,,,
134090_0_2XL,,134090_0_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,495.0,495.0,,,,1,134090_0_2XL,,,,,,,5,,,,,,
134090_0_3XL,,134090_0_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,545.0,545.0,,,,1,134090_0_3XL,,,,,,,2,,,,,,
134105_2_SS,,134105_2_SS เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_SS,,,,,,,0,,,,,,
134105_2_S,,134105_2_S เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_S,,,,,,,0,,,,,,
134105_2_M,,134105_2_M เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_M,,,,,,,0,,,,,,
134105_2_L,,134105_2_L เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_L,,,,,,,0,,,,,,
134105_2_XL,,134105_2_XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_XL,,,,,,,14,,,,,,
134105_2_2XL,,134105_2_2XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,525.0,525.0,,,,1,134105_2_2XL,,,,,,,12,,,,,,
134105_2_3XL,,134105_2_3XL เชิ้ตผู้หญิงผ้าพื้นแขนยาว,Shirts,Fixed,,565.0,565.0,,,,1,134105_2_3XL,,,,,,,3,,,,,,
